FullDescription,LocationNormalized,ContractTime,SalaryNormalized
"Vision for Education seeks to recruit Teachers for children with Special Educational Needs. Have you worked in schools for children with PMLD, SLD, MLD or EBD? We have a number of SEN positions in the North Yorkshire area and are looking for staff. We will consider teachers who have worked in a mainstream setting with relevant skills and experience. You will demonstrate a professional approach and be able to take the initiative and work effectively with permanent staff and have the aptitude to form good relationships and be able to communicate effectively with parents and other professionals. It is vital that you hold a valid, recognised, teaching qualification and have had at least 6 weeks recent experience of teaching in the UK. You must also be eligible to work in the UK as a temporary worker. We must be able to obtain references from schools where you have previously taught. Your supply career is safe in our hands  the team at Vision for Education have extensive experience in education recruitment and most importantly we have great relationships with schools in the area. We will listen to your requirements, treat you like the professional you are and pay you one of the best rates around. We are dedicated to serving the education community to the highest possible standards  Teachers, Students and Schools. So if you are eligible to live and work in the UK and you have a recognised teaching qualification contact us now on **** ****",Thirsk,,28200
"The Role Aside from audit responsibilities that the role will bring, you will also be given the opportunity to prepare business plans and financial models to reflect varied businesses; prepare funding applications and reports; prepare production cost reports for both individual productions and coproductions; and prepare valuations for film titles, film libraries, income streams and other intellectual property. This is a truly unique opportunity Candidate Requirements In order to be considered you must be a newly qualified ACA/CA with first time passes, have gained a minimum of an Upper Second Class Honours or higher for your Bachelors Degree and a minimum of 300 UCAS points. In addition you must have strong interpersonal skills; experience leading audits and managing teams; and ideally have experience with clients in the Film and TV sector; or alternatively have a genuine personal interest in the sector. Finance Professionals is part of Hydrogen Group. This job was originally posted as www.totaljobs.com/JobSeeking/NewlyQualifiedAuditorMediaandEntertainment_job****",South East London,permanent,41000
"About the client nbsp; High profile Bank with a strong International brand nbsp; About the role We are looking for an individual to work at Group level to provide the central functions with the appropriate advice, policies, guidance and oversight to ensure the privacy regulatory requirements are met. nbsp; It will be important to: nbsp; Hold regular meetings with key contacts in the different business units overseeing any privacy breaches and collecting and analysing MI and providing training and awareness Advise on International privacy laws and emerging privacy regulatory developments in the jurisdictions in which they operate Responsibility for privacy related consultations Ensuring remediation of all gaps identified as part of the Privacy Programme Legal drafting and analysis of information Represent Group at certain forums nbsp;What we are looking for nbsp; Privacy expertise Law degree desirable Strong UK Privacy Law knowledge Solid analytical experience Good communication skills",London,contract,72500
"We are the fastest growing family business in the North West and are looking for ambitious, hard working people to join our winning team. Due to our success and further expansion, we are now offering an exciting opportunity for an enthusiastic, intelligent and experienced Senior Service Advisor to join our established multifranchise branch in Merseyside. Senior Service Advisor  The Role Reporting directly to the Service Manager, the Senior Service Advisor is a proactive and an important member of the dealership's Service Department with responsibility for all Service related enquiries. You will identify and sell Service Hours profitably, ensuring adherence to company policies and procedures, respond positively to the requests of the Service Manager and work effectively as a member of the team in a very busy environment. Your overall objective will be for the maximisation of Service Hours, therefore helping to achieve and ideally exceed the business plan of the department. As a Senior Service Advisor you will be responsible for the following: Customer Satisfaction (CSI): To take responsibility to achieve the highest possible customer satisfaction levels in excess of the manufacturer national average by building trust, communicating well and exceeding customer expectations. To provide a quality of service that means Customers would not consider using our competitors. Maximising Profit Per Customer Visit: Product Sales: To actively and professionally promote all ancillary products to achieve targets set by your Manager every day. Up Sell: To actively promote and fully explain the value of additional work to customers to ensure you maximise the profit generated from the service while maintaining the bond of trust. Data Quality: To accurately and vigorously collect, manage and input all customer contact and vehicle data into the Kerridge system to maximise the quality and content of the customer database. Customer Followup: To maintain contact with and follow up every customer of the department to ensure they were completely satisfied, their expectations were met, any issues are addressed and their custom retained. Senior Service Advisor  We are looking for individuals who possess ;  Good Literacy Numeracy Skills  Customer Focus  Good Communication Skills  IT Literacy  Influencing and Selling Skills  Experience in a Multi Dealership franchise would be a distinct advantage for this role.  A driving licence with no more than three points is preferred.  It also goes without saying that you must be well presented as you will be dealing with the general public on a daily basis. In return we offer the successful candidate a basic annual salary of **** to **** depending on experience, with realistic on target earnings of **** to **** plus per annum. We also offer a challenging and rewarding environment, with excellent career development opportunities and industry leading training both inhouse and Manufacturer based If you have a real passion for the Automotive Industry with previous experience of working as a Senior Service Advisor then we would love to hear from you. Please click 'Apply' to send us your CV today Senior Service Advisor,St Helens WA**** ****JG , commutable from; Ormskirk, Burscough, Maghull, Crosby, Litherland, Bootle, Kirkby, Melling, Rainford, Standish, Knowsley, Prescot, Huyton, Liverpool, Haydock, NewtonleWillows, Haydock, AshtoninMakerfield, Orrell, Wigan, Eccleston, Chorley, Preston, Ainsdale, Skelmersdale, Wigan, St Helens, Warrington, Leigh, Widnes, Runcorn, Winwick, Birchwood, Lymm, Sale, Bolton, Blackburn, Cheshire, Merseyside, Abram, Hale, Halton, Wallasey, Leyland and Hindley. This job was originally posted as www.totaljobs.com/JobSeeking/SeniorServiceAdvisor_job****",St. Helens,permanent,18500
"Senior Sales Negotiator / Estate Agent  City of London Curtis & Mayfair have an exciting opportunity for a target driven and money motivated Senior Sales Negotiator / Estate Agent to join a leading, thriving and well established estate agent, based their busy City based office, as a Senior Sales Negotiator / Estate Agent. This role is ideal for someone looking to progress their career into sales management. The suitable Senior Sales Negotiator / Estate Agent will have an estate agency background and be confident dealing with a wide range of clientele and working to targets. Estate Agency experience is essential along with a successful track record of hitting and exceeding targets. Senior Sales Negotiator/ Estate Agent Responsibilities: Registering new applicants both over the phone and face to face Arranging and attending viewings Arranging valuations and negotiating competitive fees Negotiating offers with Vendors and buyers Senior Sales Negotiator/ Estate Agent Requirements: A strong estate agency background, with previous experience of exceeding targets Self motivated, money hungry, desire to succeed Well presented with excellent communication skills A full driving license. For more information on this position, please apply online, forward an up to date copy of your CV to christiancurtisandmayfair.com or call us on **** **** **** Curtis & Mayfair is an equal opportunities employer and welcomes applications from all. Curtis & Mayfair is a recruitment consultancy and is advertising this vacancy on behalf of one of its clients. To see all of our current vacancies, please visit our website.",London,,28500
"The systems administrator is an admin job coordinating existing systems within the workshop compiling data, this would be permanent with an element of flexibility. 12 hours per week. Monday  Friday times to be confirmed. National mimimum wage applies To apply  Jocentre application form or CV to Employer.",Cardiff,,11884
"JOB DESCRIPTION TITLE OF P OST : C ook SALARY : **** per annum HOURS: 30 Hours LOCATION: Kinloss Day Care Centre, Burghead Road, Kinloss, Forres, IV**** 3SX RESPONSIBLE TO : Early Years and Childcare Manager JOB PURPOSE PRINCIPAL ACCOUNTABILITIES:  Be responsible for preparing, cooking and service of food and beverages to the required standard.  Supervise and train other kitchen personnel in their duties and responsibilities, coordinate an efficient waste control program.  Be responsible/supervise and direct cleaning of the kitchen area and equipment.  You will have gained experience as a chef or cook in quality establishments preparing dishes from scratch.  You will be a confident menu planner and be able to cost dishes effectively meeting set budgets.  Control of hygiene and health and safety in the k itchen and other domestic areas and be up to date with current hygiene legislation.  Plan and conduct meetings with subordinates, implement new policies and to keep employees aware of current changes and standards and to keep up to date with new trends and methods of food preparation in the food service industry.  O rdering of relevant supplies and stock control .  Maintain standards in domestic areas for the comfort and well being of staff and children.  To order materials and equipment as necessary and to keep records of orders placed and maintain budgetary records as required. PERSON SPECIFICATION Essential ****. Experience of preparation, cooking and service of food and beverages to the required standard. ****nowledge of health safety, and food hygiene regulations General understanding of the operation of the centre 3. Ability to maintain a high standard of personal and general cleanliness and hygiene to comply with statutory regulations. **** Ability to follow menus and recipes. 5. Ability to use kitchen and cleaning equipment **** Good organisational skills **** Ability to manage own time effectively 8. Values and Behaviours **** Passionate  about achieving results **** Is professional and positive **** Shares skills and knowledge in areas of own expertise, to support others . 1**** Child Protection Accountabilities **** Undertake a Criminal Records Bureau Check at Enhanced level To follow the S.E.T. Child Protection Procedures **** Hold a relevant food qualification . Job Activities – Standard Terms Common to all Job Descriptions 1. Promote the organisation’s Equal Opportunities policies . **** Promote the organisation’s Investors in People policies . 3. In discharging the duties of the post to have due r egard to the provisions of Health Safety at Work legislation, as detailed in the Health and Safety manual . **** Undertake such additional responsibilities as required, which are commensurate with the grade and responsibilities of the post . 5. A commitment to safeguarding and promoting the welfare of chil dren, young people and families. PRINCIPAL TERMS CONDITIONS OF EMPLOYMENT COOK 1. Hours of Work 30 hours per week (9am3pm) , all year round. **** Duration of Contract Permanent 3. Holidays **** 8 days per annum including Bank Holidays (pro rata) . Some annual leave will need to be taken at the Christmas period, when the ****hildren HQ bu ilding closes. 4. Salary **** per annum. 5. Method of Pay Salaries are paid by direct debit into the staff members nominated b ank account on the 15th day of each month. **** Place of Work Kinloss Day Care Centre, Burghead Road, Kinloss, Forres, IV**** 3SX. **** . Trade Unions The organisation has a recognition agreeme nt with Unite the Union. 1",Forres,,10140
"Mae Lynch is looking to recruit an ambitious Audit Accounts Senior for our Oxford based public practice client. Our client is a leading firm of accountants with a diverse client base covering numerous industries and business entities with turnovers to c****m. Having achieved continual year on year a new and exciting opportunity has arisen for an Audit Accounts Senior to join their team. Reporting directly to a Partner the Audit Accounts Senior will manage a varied portfolio of SMEs and provide a range of corporate services to those clients including the undertaking of complex audits. This exciting opportunity will appeal to an ACA/ACCA qualified or finalist Audit Accounts Semi Senior or Audit Accounts Senior who is looking to join a dynamic forward thinking firm of accountants in order to progress their career. Ideal candidates should have first class communication, technical and interpersonal skills combined with a 'hands on' approach and the ability to lead/motivate those around them. Besides providing a superb remuneration package including free parking our client is also offering realistic opportunities for career progression to Manager and beyond. This job was originally posted as www.totaljobs.com/JobSeeking/AuditAccountsSenior_job****",Oxford,permanent,31500
"An independent provider of Business Communications, Consulting and IT Services offering technology based solutions to more than **** business clients. We help our customers to maximise their invesments in IT and Telecommunications technologies to increase productivity , reduce costs and enhance competitive edge. Job Overview: Purpose of job: Provide administrative support to the Operations Department Assist with the organisation and administration of Technical Department Assist with the provision of services and other organisations To contribute generally to the work of Ortiga Communications Responsible to : Managing Director/Operations Director Duties and Responsibilities ****. To provide administrative support to the Operations Department, Directors and other Ortiga staff. **** By Definition will provide a ‘reception’ function with this individual the primary first point of contact. 3. To operate computerised office systems, for example filing papers and maintaining databases. **** **** st line support (resetting passwords, reporting to carriers – Nine, Griffin, TalkTalk). 5. Dealing with 1 st line mobile enquiries liaising with mobile networks. **** Simple provisioning activities, collation of forms, processing orders, scheduling resources, deliveries. **** Providing updates to clients with SLA’s and keeping them up to date on queries and faults. **** To undertake general office duties: General Admin Assisting with the handling of inbound calls, with emphasis on calls directed to technical team. H ours: 35 hours per week – 9am  5.00pm Monday  Friday This job was originally posted as www.totaljobs.com/JobSeeking/ITSupportApprenticeBirmingham_job****",UK,permanent,8320
Our client is a well established regional M Quoting for mechanical projects using a computerised estimating package. Knowledge of schedule of rates and or a bill of quantities is desirable. Must have previous mechanical estimating experience on commercial projects for the private sector and public sector. Interpretation of electrical design and tender documentation Site Surveys to client properties to assess the current mechanical installations. Carrying out the bid management function in the company Leading a team in the bid management process CANDIDATE Proven track record in mechanical estimating Willing to look at ambitious estimators who wish to make the move to senior level Excellent organisational skills Ability and flexibility in hitting tight tender deadlines Excellent technical knowledge in the mechanical sector,Hertfordshire,permanent,40000
"A superb opportunity is currently available for a selfstarting, flexible and driven Account Manager to take responsibility for driving forward business growth for a new company. This is an amazing opportunity for someone to create their own success as the right candidate will be running the company in a few years time Your clients will predominantly be UK offshore and you will be required to visit your clients regularly. The Role: You will be responsible for the complete sales process from initial contact to sales completion and after sales Build relationships with UK offshore companies Identify new business as well as retaining existing business Be the key figure driving forward sales for business Ideal Candidate: **** to 5 years experience in sales or account management Great interpersonal and networking skills and a strong customer service focus A positive, flexible, can do approach A selfstarter someone who is passionate about their career and wants to build not only their career but the company too Experience of managing client relationships Oil and gas industry service sector operational support experience and network. Some knowledge of fabric maintenance and modifications or confined vessel entry operations in the offshore oil and gas industry. Full Driving licence Availability to travel This is a key role within the organisation as it is essentially the first appointment they are making and therefore it is imperative the right candidate must has a drive for sales as well as being an excellent communicator in order to build new relationships. If you feel you are up to the challenge and possess the relevant skills to be successful in this post then please forward your CV immediately to balvinder.nijjaratarecruitment.co.uk.",UK,,50000
"Career Teachers urgently require qualified Teachers to work in Croydon. We currently have several positions in these areas, ideal for Teachers looking for an enthusiastic and supportive environment. The posts are to start as soon as possible, ranging from Foundation to Key Stage **** and will continue to the end of the academic year. For this role you must have previous experience of working within a Primary setting and be prepared to include yourself in all aspects of school life. Support will be provided for all planning and preparation. Overseas trained Teacher who hold a valid Teaching Qualification and NQTs are welcome to apply. If you feel this is the position for you, are able to supply 2 teaching references and hold a valid CRB or be willing to complete a CRB please get in contact on the details below. You can call on **** **** **** or email davinacareerteachers.co.uk For similar roles please visit our website www.careerteachers.co.uk. Are you a teacher who holds UK QTS? Did you know that with Career Teachers, you will be paid in line with the main payscale after a 12 week qualifying period? Please ask for further details. Important Notice In order to apply for the above position all applicants must be eligible to work in the UK, or eligible to apply for a relevant work visa. Career Teachers are unable to offer a work permit to any applicant or facilitate work permits for any vacancy on behalf of one of its clients. It is Career Teachers policy, as a matter of courtesy, to respond to all applications within three working days. However, because of the volume of applications, we are sometimes unable to respond to individual candidates. If we have not contacted you within three working days your application has been unsuccessful and your details have not been retained. Please apply for any other position that you may see in the future. Thank you. Career Teachers is a Recruitment Agency and is advertising this vacancy on behalf of one of its Clients.",Surrey,contract,31200
"This exciting opportunity exists within our West London Centre Please note: All candidates must follow the online application process Audi is a manufacturer of exquisite cars  beautiful, sophisticated machines that embody technological perfection. Our success is built on our core values of creativity, commitment and enthusiasm, and keeping our customers' desires at the heart of everything we do. We strive to lead the way through constant innovation, setting new standards that define Vorsprung durch Technik. At West London Audi we aim to provide all our valued customers with the best possible customer service. Whether our customers are looking for a brand new Audi, a quality Approved Used Audi, or booking an Aftersales Service, we can deliver everything they need. In our centre, we strive to achieve our core values on a daily basis and are supremely confident in providing uncompromising quality in every aspect of our service. Our chief aim is to offer every single one of our visitors unrivalled customer service throughout every visit. Job Purpose: To achieve service volumes and profit objectives through motivating and developing the service team to be fully competent in their job roles. To manage all Service processes and to ensure all customers receive excellent customer service. As an Audi Service Manager, you will be responsible for: Managing **** Service Advisors, **** Service Advisor Team Leader, Admin Team Leader / Costing Clark, **** Warranty / Goodwill and Drivers Mentoring, supporting, coaching and training staff in all areas of the role Managing front of house resource Working in conjunction with the Workshop Manager to manage and plan the workshop diaries Red work VHC sales Customer Satisfaction Dealing with customer complaints Achieving Budgets Meeting Manufacturer processes and standards Your objectives will be to: Maintain standards of performance of the service team through effective coaching and performance management. Recruit and select the service team members in line with organisational and Audi UK requirements. Maintain high levels of customer service standards and ensure understanding and adherence to the requirements of Brand service requirements and customer satisfaction indicators within the Audi Centre Work with the Workshop Manager to ensure sufficient resources are available to meet servicing requirements and regularly review key operating controls (labour efficiency, labour sales, cost of sales) so that they are in line with Audi (UK) and Audi Centre operating requirements. Ensure all Service processes meet HSO requirements and that they are implemented in a consistent manner. Regularly communicates and interacts with members of other departments to develop the business and the Audi Centre team ethos. Maintain a safe and healthy working environment; ensuring staff comply with Health and Safety requirements. This role would best suit an individual that has come from a Service Reception/Front of House Management role and whom is happy to be in a handson client facing position on a daytoday basis. Exposure to Audi or another VAG Brand woudl be highly advantageous but other Brands will be considered for the right person. Strictly no Agencies",West London,,35000
"Eden Brown are currently looking for an administrator, below are the responsibilities and the skills required for the job. Telephone: Answer telephone in a polite friendly manner. Take accurate messages. Answer any general queries to the best of your ability. Mail: General post room duties. Distribute as necessary paying particular attention to receiving tenders RFQ's. Ensure circulation lists are updated Any drawings specs should be date stamped and forwarded as appropriate. Email Calendar Management: Archive emails using the online filing structure outlined on Primenet. Meetings/Training/Presentations: Attend meetings, training seminars and presentations as required by the site team. Arrange meeting/training/presentation rooms/venues for site team. Organise refreshments and clear away as required. Prepare in advance (as directed by supervisor) meetings packs of information to include: Directions Agenda Previous Minutes Key Items of Correspondence Ensure equipment required for meeting/training/presentation is available. Typing General Correspondence: Meeting minutes. As required take type minutes using template available on Primenet. General Typing Copy typing of memo's, letters, faxes, spreadsheets, tables, PowerPoint organisation charts, presentations, work orders (IFS), Provision of documentation in compliance with accredited activities for Alarm Detection Emergency lighting systems Procurement: Order progress Specialist parts and materials as specified by team members. Order stationary office refreshments as required using approved provider. Order PPE for new starters. Order catering as required. Information Management System: Babcock DynCorp use a bespoke database system, IMS. As part of the role administrators will be expected to input, extract and analyse data on the system. Training will be provided to enable administrators to use the system effectively. HR: Have basic knowledge of company policies and procedures. Be able to complete basic HR administration. Ensure new employees have completed induction paperwork as applicable. Other: Book Visitors into Main Security Gate and escort where applicable Filing ? ensure this is kept up to date both electronic and paper based systems. Office Equipment ? ensure maintenance of photocopier, fax machine, franking machine, water coolers, arranging PAT testing maintaining register etc. Reception ? cover reception desk (if requested/required). Ensure deliveries and visitors are dealt with promptly and efficiently. Archiving ? ensure archiving is carried out as directed at appropriate times. Ensure expense claims are posted to Foxhill and copied for reference. Notify the relevant person of intranet and noticeboard updates as required. Any other ad hoc duties/site specific duties requested of you Skills required: Essential: Computer Literacy Technical Skills Communication Skills (written verbal) Team skills Prioritisation Accuracy Confidentiality Time Management Skills Ability to work on own. Flexibility Organisational Skills Interpersonal Skills Eden Brown is committed to equality in the workplace and is an equal opportunity employer. Eden Brown Ltd is acting as an Employment Business in relation to this vacancy. This job was originally posted as www.totaljobs.com/JobSeeking/Administrator_job****",Sleaford,contract,17971
"Experienced C.N.C Machine Operator required to machine furniture component's for a high quality kitchen, bedroom and furniture manufacturer. Previous experience essential for C.N.C machines. Experience on overhead routers and spindles would be an advantage. Duties include all aspects of the manufacture of furniture parts. Successful applicants will serve a three month trial period.",Bolton,,15072
"SOFTWARE ENGINEER Salary to ****k, negotiable depending on experience Northampton An exciting new opportunity, arising through growth, within this highly successful and rapidly expanding software development specialist, whose Management Information Systems have revolutionised the way information is communicated within educational establishments. Your primary remit will be to build leadingedge software applications on a C.Net / SQL Server / ASP.Net platform. Working within an Agile development environment, responsibilities will include:  Development and maintenance of key technical components, frameworks, interfaces and services of the product set.  Improving quality through the enforcement of coding standards and industry best practices.  Actively contribute to the design, implementation and improvement of new and existing functionality, including proof of concept projects.  Provide technical expertise and guidance to development team members. The ideal candidate will be educated to degree level with substantial hands on experience developing commercial applications using C ****  **** and classic ASP development with ASP.Net MVC ****/**** along with significant experience with SQL Server 2005/****/2012. Also advantageous would be experience with Ntier enterprise development, advanced CSS and HTML, JQuery and knowledge of JavaScript/OO JavaScript patterns. You will need to be passionate about software development and best programming practices with high attention to detail. You will also need to be resilient to pressure, working to strict deadlines within a multipaced environment. To apply, please forward your CV, for the attention of Andrew Shearer. .",Northampton,permanent,17500
"C and Asp.NET Software/Web Developer required to develop C and Asp.NET based software solutions through full SDLC including design, code, debug, test, document and maintain web and software based applications. Ideally you will have around 5 years commercial C and Asp.NET development experience with a strong understanding to design patterns and Object Oriented Design/OO/OOD. As this is a mix of C and Asp.NET software development and web development you will also need to have a good working knowledge of web skills such as HTML, IIS, CSS, JavaScript and Ajax. Experience of Agile development life cycles (iterative and incremental) and of working within scrum teams is preferred. This is a permanent role and my client is willing to offer a competitive salary and benefits package.",Southampton International Airport,permanent,40000
"Overview: An international Automotive manufacturing organisation is currently recruiting for a multiskilled maintenance engineer to work on the production and assembly lines in the factory. The contract will be 612 months, based in the Bedfordshire area. The Company: Established for over 90years, they have steadily progressed to become one of the major manufacturers of automotive components in the UK. They currently employ over **** people at the site, and because of the expansion plans onsite they are currently looking for a Maintenance engineer to join the team. The Role of a Maintenance Engineer: As a maintenance engineer you will be working on a shift rotation of earlies, lates s when required. Equipment Hydraulic Presses, Moulding machines, Assembly cell sections. All automated machines running on Allen Bradley PLCs. Key Skills: As a maintenance engineer in this role you will need to be multiskilled with good electrical and mechanical knowledge, ideally with a relevant engineering qualification (i.e. C s/NVQ) and come from some form of manufacturing or assembly production environment. You will also need to have excellent knowledge of Allen Bradley PLCs, coupled with excellent communication skills and the ability to work well within a maintenance team. Benefits: 612 Months Salary: **** per hour Commutable from: Dunstable, Bedfordshire, Bedford, Bedfordshire, Milton Keynes, Buckinghamshire, Watford, Hertfordshire Candidates may have relevant experience having held roles as a: Maintenance Technician, Shift Engineer, Multiskilled maintenance engineer If you are interested in this role and feel that you have the right skills then please click apply at the bottom of this advert. Due to the high response received for some vacancies we regret that we are sometimes unable to reply to all applicants. If you have not been contacted within 7 days, please assume that your application has been unsuccessful on this occasion. However, we will keep your details and notify you of any other opportunities. As a registered candidate with Pioneer Selection Ltd, you automatically become eligible for our referral scheme. You will receive **** for every candidate we place in permanent employment who has been recommended by you. Terms and Conditions apply please see our website for further details",UK,contract,11520
"Sales Assistant  Film Game Packages No Sales Experience Required  Immediate Start Available At Carolina Consulting in Manchester City Centre we’re looking for **** Sales Assistants that have an interest in movies, films, or video games We’ve recently acquired a new client in the entertainment industry and they need our help to increase their market share in the Greater Manchester area. If you’re over **** years of age, able to commute to Manchester City Centre, and interested in learning sales, we’d love to hear from you In just over 7 years, our newest client has become the Leading European Film Subscription Service. They combine the convenience of DVD and game rental by post with digital streaming to allow their customers as many entertainment options as possible. We’re looking to become their primary source of new customers before the end of 2012 Sales Assistant Requirements: You’ll need above average customer service skills because you’ll be speaking with customers daily (no sales experience necessary) You’ll need to be over 18 due to the independent nature of the openings Movie, Film Video Game knowledge is very helpful in engaging customers during the sales process Experience using an iPad is helpful because it’s used to sign up new customers Full time availability is ideal because earnings and growth are based on your individual sales results; so the more you put in, the more you get out Smart dress and a professional attitude are encouraged because you’ll be speaking with customers facetoface You must be able to work independently and should be able to work within a team environment DON’T DELAY  SEND YOUR CV TODAY Simply send your CV through the online application process. We aim to contact successful applicants within **** working days, so please be sure your phone number and email address are provided About Us: Carolina Consulting is a premier privately owned and operated company with over 10 years of outsourcing direct sales experience. Our direct sales campaigns help clients acquire new customers on a daily basis. We contact potential customers facetoface where they live so we can keep track of geographic and demographic statistics for our clients. We do not do telemarketing or graphic design. We aim to provide sustainable growth whilst providing a memorable experience for the customer. In order to provide our client with the best representation possible, we routinely invite people to spend a full day in the field with an experienced representative to get a feel for what a typical day is like. At this point, you will not be authorized to participate in the sales process, and therefore won’t be entitled to any earnings. This day is designed to assist the decisionmaking process for all parties involved. We will reach a mutual final decision when you return to the office. This job was originally posted as www.totaljobs.com/JobSeeking/SalesAssistantImmediateStart_job****",UK,permanent,18750
"HCL Nursing are recruiting for Registered General Nurses (RGN) to work in various hospitals in the West Midlands area.You need experience in working within a hospital setting and be able to undertake basic general nursing duties.HCL Nursing can offer you days/nights and weekend shifts at excellent hourly pay. In addition, we can offer; Excellent rates of pay up to **** (PAYE Ltd options) Placements available; adhoc, short term long term placements  Free CRB Checks Free Uniform Free Training Free Blood Screening Benefits to Locums Rewards Scheme Referral SchemeDedicated team of friendly, experienced recruitment consultants that will go out of their way to offer you the work YOU WANT We also have an oncall service 7 days a week 365 days a year.If you are interested please apply for this post and someone will call you.",West Bromwich,permanent,39072
"Head of Fundraising c. pound;**** London Our client is a prestigious educational and conservation charity with a history spanning over 200 years. As Head of Fundraising, you will lead the",London,permanent,55000
"Description: The Revenue Systems Coordinator will be a vital link between Revenue and Distribution. You will be responsible for ensuring that all the systems are setup and used correctly which supports the efficiency of the revenue team and utilizes our tools to their maximum capability. You will ensure that loading and distribution of inventory, rates, packages and promotions to all distribution channels is accurate and assist in providing reporting on production of the channels. As a member of the revenue team you will be required to assist within the team on tasks, projects and reports as and when required and support the department by ensuring that all information is distributed accurately and within a timely manner. Qualifications: Previous hotel revenue experience is preferred with knowledge of Micros Fidelio Opera. GDS and online travel distribution knowledge would also be beneficial along with Microsoft Office skills especially Excel. This role would suit someone who is currently a strong reservations agent or revenue analyst. Skills: We require someone who has a passion for hospitality and keen to develop within a hotel revenue department. An individual who has excellent problem solving skills with an analytical approach and a strong attention to detail. In addition you will also have excellent communication, administration and organisational skills and are able to work alone and are selfmotivated. Hours: Monday  Friday, 9am5.30pm This job was originally posted as www.caterer.com/JobSeeking/RevenueSystemsCoordinator_job****",Edinburgh Technopole,,17000
"Fusion People are currently actively partnering with a number of reputable signalling organisations who require a number of professionals with signalling expertise. We are on the search for reputable signalling professionals who are signalling engineers, electrical supervisors, verifiers, testing and commissioning engineers, designers and construction mangers. These are permanent roles with established and reputable national organisations. You will be based near the sites (metro or regional) and become a valuable team member. The projects include a number of brown field and green field rail projects that will secure your role over the next couple of years with potential opportunities of career development. To be considered, you will need to have accumulated at least 3 years of signalling experience within a rail environment. To take advantage of these signalling roles please apply now or contact Bobbee Phung of Fusion People directly to discuss in confidentiality.  3 years Australian signalling experience  Log books to support level of competencies  Fusion People are committed to promoting equal opportunities to people regardless of age, gender, religion, belief, race, sexuality or disability. We operate as an employment agency and employment business.",Newcastle Upon Tyne,permanent,73783
This is an excellent opportunity to join a successful IT company Full training will be given The successful candidate will have drive and enthusiasm and the desire to learn This is an ideal opportunity for a candidate who is seeking to build a career in sales Full product and sales training will be provided in a professional environment The successful candidate will be business minded and hungry for development,Stockport,,13000
"We are currently recruiting a Treasury Manager who will lead the Treasury Team at an operational level playing a critical role in managing treasury risk and investments; underpinning Metropolitan’s financial liquidity, stability and viability. The successful candidate will have the following key experience and qualifications: A highly experienced, inspiring and visible business manager with a management track record of inspiring teams to achieve the very best through a strong performance management culture An excellent communicator across a wide range of audiences, presenting financial issues in a user friendly manner A strong commitment to customer service and overall service excellence A qualified member of the treasury profession with an appropriate professional qualification: an AMCT Diploma from the Association of Corporate Treasurers; and a qualified accountant; or ACIB qualification from the Chartered Institute of Bankers. Considerable experience of treasury management at a senior level In depth understanding of forms of financing available to Registered Providers (RPs) and knowledge of the associated legal documentation In depth understanding of and experience in using derivatives In depth understanding of process of charging security to lender, credit ratings and investment risk and cash flows Knowledge and experience of accounting for loans and investments Intermediate IT literacy An affinity with the work of the social housing / care sector Educated to degree level, or equivalent Benefits include a base entitlement of 25 days paid annual leave plus eight English Public Statutory Holidays. Metropolitan also offers a contributory pension scheme and a range of flexible benefits including (but not restricted to) dental insurance, a health cash plan and critical illness cover. Metropolitan employees also have access to a voluntary benefits portal which offers a wide range of discounts on products and services such as travel and high street vouchers. To apply for this role please follow the link below and complete an online application form. The closing date for this role is Friday 8th February 2013 The interview date for this role is w/c 11th February 2013 Metropolitan supports flexible working and welcomes job applications / proposals on that basis. Metropolitan is a unique network of locally focused member organisations working together to provide housing, community, regeneration, care and support services.",London,permanent,69172
"Holden Jones are working with a SME construction business in the Southampton area who are seeking a Cost Accountant within their project based team. The successful candidate will be Qualified, PartQualified or QBE and ideally be from the construction industry. A sound understanding of manufacturing and service would be an advantage and experience in working for projects ranging ****K to 10M is a must. Strong communication skills and the ability to liaise with finance and nonfinance is vital as well as being IT literate with advanced Excel skills. The successful candidate will be given the opportunity to have a great amount of control of a business and have a great affect on building the process and profitability and cost reduction of an already successful, profitable company. This job was originally posted as www.totaljobs.com/JobSeeking/CostAccountant_job****",UK,permanent,38500
"Position: Unit Manager Location: York Salary: **** Hours: **** hours Job Description: I am currently looking to recruit for a Unit Manager, this position reports directly to the Manager, ensuring the smooth running of the Nursing Unit. The service is based just outside the Historic City of York within a residential area. Job Requirements: • Responsible for all clinical matters through out the unit • Responsible for the assessment of care/support needs of service users • Development and implementation of care programmes • Managing the floor • Report directly to the Manager Skills/ Qualifications: • Registered Nurse • Passionate at delivering services that enhance lives • Dynamic and Enthusiastic • Proactively work within the community raising the profile of the company and the service Benefits: • Salary **** per hour • EXCELLENT career progression and training opportunities For more information on how to apply for this fantastic opportunity please contact Shona Blackburn on **** **** **** or email a copy of your up to date CV for immediate attention to shona.b.a****lgi****kvv****hpopulusconsultants.aptrack.co",York,,29290
